country,region,sub-region,year,CO2_pc,energy_use_pc,energy_production_pc,hdi,income_pc,gini_idx,military_%gdp,population,gas_price_liter
Afghanistan,Asia,Southern Asia,1949,0.00182,,,,1030.0,,,,
Afghanistan,Asia,Southern Asia,1950,0.01088,,,,1040.0,,,7752118.0,
Afghanistan,Asia,Southern Asia,1951,0.01169,,,,1060.0,,,7839426.0,
Afghanistan,Asia,Southern Asia,1952,0.01155,,,,1070.0,,,7934798.0,
Afghanistan,Asia,Southern Asia,1953,0.01323,,,,1120.0,,,8038312.0,
Afghanistan,Asia,Southern Asia,1954,0.01305,,,,1130.0,,,8150037.0,
Afghanistan,Asia,Southern Asia,1955,0.01862,,,,1130.0,,,8270024.0,
Afghanistan,Asia,Southern Asia,1956,0.02183,,,,1160.0,,,8398309.0,
Afghanistan,Asia,Southern Asia,1957,0.03437,,,,1140.0,,,8534913.0,
Afghanistan,Asia,Southern Asia,1958,0.03802,,,,1180.0,,,8679848.0,
Afghanistan,Asia,Southern Asia,1959,0.04359,,,,1190.0,,,8833127.0,
Afghanistan,Asia,Southern Asia,1960,0.04606,,,,1210.0,,0.0,8994793.0,
Afghanistan,Asia,Southern Asia,1961,0.053610000000000005,,,,1200.0,,0.0,9164945.0,
Afghanistan,Asia,Southern Asia,1962,0.07377,,,,1200.0,,0.0,9343772.0,
Afghanistan,Asia,Southern Asia,1963,0.07424,,,,1190.0,,0.0,9531555.0,
Afghanistan,Asia,Southern Asia,1964,0.08631,,,,1190.0,,0.0,9728645.0,
Afghanistan,Asia,Southern Asia,1965,0.10149,,,,1190.0,,0.0,9935358.0,
Afghanistan,Asia,Southern Asia,1966,0.10766,,,,1180.0,,0.0,10148841.0,
Afghanistan,Asia,Southern Asia,1967,0.12377,,,,1180.0,,0.0,10368600.0,
Afghanistan,Asia,Southern Asia,1968,0.11554,,,,1200.0,,0.0,10599790.0,
Afghanistan,Asia,Southern Asia,1969,0.08685,,,,1190.0,,0.0,10849510.0,
