CO2 per capita,1751,1755,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018164924,0.0103458013,0.0110751069,0.0109034201,0.0124469745,0.0122440448,0.0174360947,0.0204010876,0.0320677995,0.0354270544,0.0405713585,0.0428426598,0.0498313307,0.0685461845,0.0689649303,0.0801598513,0.0942545275,0.0999903243,0.1149563667,0.1073231361,0.0807000206,0.1397420088,0.1544570249,0.1217011781,0.1269017945,0.1450149053,0.1574661981,0.1443570393,0.1707203466,0.1523074091,0.1572219681,0.1240683507,0.1418516602,0.1536619598,0.1896733868,0.2188920828,0.2779341658,0.2539851789,0.2564147392,0.2358647389,0.2235792888,0.2053893185,0.177211031,0.0921875858,0.0806299669,0.0711443827,0.0641068398,0.0579647592,0.0523333654,0.0485466864,0.0374460341,0.034170007,0.0272552621,0.0145834274,0.0227036955,0.0274723704,0.0367799036,0.0470896365,0.0683116332,0.1316019031,0.2133250066,0.2621737142,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0073480294,0.0073113991,0.0181698051,0.1265614727,0.2883495146,0.3349358974,0.4043613707,0.6369485294,0.57,0.6663682483,0.4128686327,0.137254902,0.1063268893,0.4194107452,0.7895035461,0.5906040268,0.8400882272,0.2444440421,0.3252764245,0.2946501305,0.3180974141,0.3750883586,0.4812673163,0.5907250769,1.0278803157,0.7950122238,0.9254680084,1.2567018407,1.3729378341,1.4387791865,1.1802532746,1.1098282353,1.1627811629,1.3270979146,1.3563478971,1.5141405749,1.558242744,1.7529820283,1.9885926637,2.5173724574,2.305870622,1.8508208572,1.9136668692,2.0169053338,2.280678111,2.5344886782,2.8993871017,1.9353872646,2.6937939621,2.630935957,2.6946293169,2.7065568455,2.6643989013,2.655662048,2.3887393564,2.2930625312,2.7591284922,2.2761428873,1.2063693629,0.7306435326,0.7265339308,0.6066053939,0.6642042612,0.6479048417,0.4992611883,0.5692255945,0.9713419413,0.9835530485,1.0473201537,1.2140030772,1.3820662712,1.332965957,1.3537886986,1.2243103645,1.2794201701,1.2977527378,1.2150547772,1.336544035,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,0.0006423397,0.0012686287,0.0031319458,0.0030928147,0.0036650076,0.004222419,0.004169664,0.002352896,0.0046469972,0.005162554,0.0062309531,0.0089499684,0.011047684,0.0120006181,0.0123893473,0.0143623029,0.0162840232,0.0171180261,0.0194653864,0.0182104909,0.0069933754,0.0093724285,0.0043841027,0.021165601,0.030876709,0.0398727552,0.0629993308,0.0585526719,0.0614349244,0.0749420264,0.0916260957,0.0883062757,0.0940761105,0.1052026408,0.432727975,0.4619488097,0.4259932458,0.4293327789,0.4369487568,0.4747983239,0.5039458348,0.5466224373,0.5037653436,0.5351657257,0.5703705288,0.5510005791,0.505686445,0.4751545675,0.4848030364,0.5532443367,0.6892696639,0.6713525601,0.6998848966,0.8452709583,1.0965709153,1.3177429246,1.9414877096,2.5450696992,2.0551008192,1.9994970303,2.3689934161,2.4541527841,3.5475101045,2.5056757673,3.5358369944,2.3883168608,1.953971991,2.5343603448,3.3171480645,3.2934512272,3.3520248077,3.5948219406,3.4924140752,3.2446628101,3.1182167603,3.1411328307,3.0971620357,3.0352335082,3.1113256853,3.3467306004,3.3542392873,3.0156704271,3.6082576485,3.0602446171,2.8795276793,2.7204533113,2.8893127825,2.8992362742,2.7622196386,3.2570097787,3.1131351782,3.3128746842,3.328944661,3.564360549,3.480976541,3.5625039692,3.7856538351
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2906690984,6.5208170441,7.0616028555,7.5335429443,8.0227136568,8.1123454116,7.8977757694,7.7005151379,7.4142810317,7.4996900955,7.390954533,6.8399395715,6.6224351886,6.5272412415,6.1785197844,6.0921003017,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0450873042,0.0590930823,0.07253909,0.0628291821,0.0781198255,0.0912323241,0.108632742,0.1316504455,0.1239986172,0.127099066,0.1108185501,0.0899672114,0.2293855892,0.2196327517,0.2294645326,0.2187388087,0.2814339858,0.1768958266,0.2926578585,0.4791971682,0.6044772262,0.5638473637,0.7292173199,0.7719366621,0.7526105842,0.6651179723,0.4825092833,0.5056756416,0.7532161998,0.7437155228,0.6998829601,0.6680696129,0.5675612307,0.6023541626,0.5700313005,0.5185190578,0.4998989904,0.6081206096,0.5234524665,0.4982475289,0.4285738798,0.4099116583,0.4015604357,0.5100944592,0.331290691,0.9096162322,0.8424126714,0.5769905608,0.5562124578,0.6776165374,0.6850790702,0.6763391928,0.8505213915,0.5878102143,1.1776101376,1.1616618516,1.3088489689,1.4350436522,1.4743533879,1.5000535791,1.5939178422,,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7896654952,2.4535576586,2.392716199,2.9815684857,3.1889603989,3.0547918576,3.2143236638,3.36314301,3.7817396002,3.6645726252,4.0760554899,3.9809097283,3.896822761,4.2974345618,,
