country,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00182,0.010879999999999999,0.01169,0.01155,0.01323,0.01305,0.018619999999999998,0.021830000000000002,0.03437,0.03802,0.04359,0.046060000000000004,0.053610000000000005,0.07377,0.07424,0.08631,0.10149,0.10765999999999999,0.12377,0.11554,0.08685,0.15034,0.1661,0.13080999999999998,0.13633,0.15571,0.16901,0.15488,0.1831,0.16333,0.16866,0.13322,0.15263,0.16585999999999998,0.20544,0.23761999999999997,0.30171,0.2747,0.27554,0.25206,0.23911,0.21664,0.19065,0.10137,0.09077,0.08156000000000001,0.07411000000000001,0.06733,0.06079,0.05625,0.04314,0.03927,0.03107,0.04113,0.045610000000000005,0.04041,0.0544,0.06552000000000001,0.08785,0.15895,0.24905,0.30291,0.42522,0.68802,0.69312
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00735,0.00731,0.01817,0.12655999999999998,0.28835,0.33494,0.40436,0.63695,0.57,0.66637,0.41286999999999996,0.13725,0.10633,0.41941000000000006,0.7895,0.5906,0.84009,0.23512,0.31327,0.28418000000000004,0.30735,0.36325,0.46738,0.57547,1.0045600000000001,0.77932,0.9094700000000001,1.23712,1.35279,1.41801,1.16315,1.09388,1.1467200000000002,1.31021,1.34104,1.49949,1.54549,1.74075,1.9765,2.50372,2.29445,1.8423,1.9053900000000001,2.00865,2.27176,2.5249099999999998,2.88861,1.9282099999999998,2.68365,2.62082,2.6842599999999996,2.6966799999999997,2.65595,2.64902,2.38466,2.29148,2.76099,1.61798,1.30863,0.7761899999999999,0.73227,0.61293,0.67155,0.6522100000000001,0.49917,0.56485,0.95821,0.96777,1.03166,1.20105,1.37748,1.3420299999999998,1.37998,1.2776100000000001,1.3042799999999999,1.4738200000000001,1.4942600000000001,1.58449,1.8155400000000002,1.63562,1.6697400000000002
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.00064,0.0012699999999999999,0.00313,0.00309,0.00367,0.004220000000000001,0.00417,0.00235,0.00465,0.0051600000000000005,0.006229999999999999,0.00895,0.01105,0.012,0.01239,0.01436,0.016280000000000003,0.01712,0.019469999999999998,0.01821,0.0069900000000000006,0.00937,0.004379999999999999,0.021169999999999998,0.03088,0.039869999999999996,0.063,0.05855,0.06143,0.07493999999999999,0.09162999999999999,0.08831,0.09408,0.1052,0.42691,0.45753,0.42251000000000005,0.42571000000000003,0.4327,0.46926,0.49686,0.5374,0.49358,0.52217,0.55371,0.53176,0.48491000000000006,0.45278,0.45953,0.5224,0.64942,0.6320600000000001,0.6592,0.79713,1.03599,1.24778,1.8434599999999999,2.4239599999999997,1.96365,1.91682,2.27846,2.36787,3.43306,2.43151,3.4395599999999997,2.32829,1.90838,2.47878,3.24733,3.2252,3.28168,3.51675,3.41342,3.16893,3.0076400000000003,3.01971,2.97573,2.9614700000000003,3.04961,3.29837,3.3021599999999998,2.9506099999999997,3.52938,2.99385,2.8195200000000002,2.6680900000000003,2.83977,2.85615,2.72677,3.2198599999999997,2.99727,3.19557,3.16824,3.42982,3.30686,3.3002599999999997,3.47163,3.5144599999999997
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2906699999999995,6.52082,7.0616,7.5335399999999995,8.02271,8.11235,7.89778,7.70052,7.414280000000001,7.499689999999999,7.39095,6.8399399999999995,6.622439999999999,6.52724,6.17852,6.0921,5.70224,5.61408,5.52625
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04294,0.05616,0.06881,0.0595,0.07388,0.08617000000000001,0.1025,0.12412000000000001,0.11682999999999999,0.1197,0.10435,0.08471000000000001,0.21600999999999998,0.20686,0.21615,0.20606999999999998,0.26514,0.16664,0.27563000000000004,0.45108000000000004,0.5685399999999999,0.5297,0.68406,0.7229899999999999,0.70381,0.6211399999999999,0.45008000000000004,0.47121,0.7013,0.69203,0.6509999999999999,0.62133,0.52788,0.5603199999999999,0.5303,0.48236,0.46493,0.56538,0.48646000000000006,0.46287,0.45966,0.44361999999999996,0.43849,0.47155,0.30756999999999995,0.8414200000000001,0.77896,0.53478,0.51507,0.62702,0.63357,0.62529,0.78615,0.54303,1.08651,1.06932,1.2007700000000001,1.31098,1.29557,1.35427,1.36921,1.38263,1.47212,1.38437
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2952,4.55661,4.78543,5.63185,8.2913,7.9424600000000005,8.18191,9.24864,9.45435,10.20845,10.44489,10.201080000000001,9.74206,9.7886,9.1403,8.98749,8.39625
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4119,0.5458,0.54178,0.67056,0.86036,1.8232099999999998,1.47004,1.56695,2.52013,5.727469999999999,9.10723,15.67051,19.55723,7.06757,6.41161,5.56506,4.85494,6.24863,10.21857,5.77991,6.63126,6.9684800000000005,5.76871,2.0341099999999996,1.52449,4.25429,1.24096,2.19354,3.7924900000000004,3.85935,4.3318,4.57322,4.61536,4.85683,4.6412,4.56643,4.69158,4.6832,4.72087,4.59345,4.67014,4.4964900000000005,4.5808599999999995,4.43884,4.36442,4.5358,4.80405,4.98054,4.97386,5.09583,5.56102,5.62781,5.90576,6.01072,5.82327,5.886819999999999,5.8269
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35341,0.28112,0.53692,0.4062,0.26903,0.38437,0.41718,0.5179,0.56929,0.56065,0.48986999999999997,0.53492,0.64355,0.44143999999999994,0.51166,0.55652,0.54505,0.6963600000000001,0.70368,1.06427,1.0248899999999999,1.20218,0.9021899999999999,1.30393,1.40199,1.28706,1.32667,1.1007,0.86034,0.60665,0.26666,0.29616,0.43,0.6653899999999999,0.60977,0.77968,0.8706799999999999,1.09081,1.0857,1.0578,1.22055,1.1300299999999999,1.1336600000000001,1.07417,1.05657,1.05725,1.0492,1.11051,1.07408,1.13954,1.2399799999999999,1.19239,1.2439,1.1207799999999999,0.96899,0.9218,0.9471700000000001,0.92309,0.8889100000000001,0.87626,0.9114899999999999,1.0676,0.9190200000000001,1.7462799999999998,1.99888,2.0221400000000003,1.9296900000000001,1.97987,2.0918,2.3003099999999996,2.42938,2.21713,2.41522,2.36726,2.44239,2.52216,2.31615,2.53815,2.64147,2.7924,2.8579,2.96959,3.27555,3.45085,3.64975,3.6375300000000004,3.73045,3.7263599999999997,3.64149,3.7684300000000004,3.7495300000000005,3.76241,3.9983699999999995,3.8685,3.57464,3.56676,3.5717199999999996,3.5598199999999998,3.3100300000000002,3.3769400000000003,3.6688400000000003,3.8201,3.6288699999999996,3.4404,3.52506,3.60825,3.47684,3.56904,3.65631,3.8111099999999998,3.85085,3.8575199999999996,4.01034,3.8352199999999996,3.5682699999999996,3.29124,3.52525,4.0686800000000005,4.14086,4.43443,4.3823099999999995,4.68255,4.41057,4.5582,4.60001,4.56922,4.46189
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59975,0.75843,0.8225100000000001,1.05796,0.8076399999999999,1.03071,1.0801100000000001,0.9742,1.1264299999999998,1.1575,0.99872,1.12907,1.20446,1.4436,1.4595,1.6946,1.86844,1.46983,1.42287,1.65668,1.91192,1.8368900000000001
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86806,7.234310000000001,10.0256,10.63377,27.8475,27.4051,22.83774,22.101760000000002,20.79531,20.039170000000002,19.43626,19.31022,19.61975,19.6508,25.545360000000002,25.38018,24.97324,24.9068,24.50831,24.96226,24.76446,25.61139,24.74788,24.87444,24.1805,23.92024,12.71246,8.514619999999999
