country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,31.7,0,0,30.6,0,0,30,0,0,0,29,0,0,0,
Algeria,0,0,0,0,0,0,0,0,0,40.2,0,0,0,0,0,0,35.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6,0,0,0,0,
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.7,0,0,0,0,0,0,0,
Argentina,0,40.8,0,0,0,0,0,42.8,45.3,0,0,0,46.8,45.5,44.9,45.9,48.9,49.5,49.1,50.7,49.8,51.1,53.3,53.8,50.7,48.3,47.7,46.6,46.3,44.5,43.9,43,42.3,41.2,41,41.4,0,42.4
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.2,0,35.4,34.8,33,37.5,36,29.7,31.2,29.2,28,30,29.4,29.6,30.6,31.5,32.4,32.5
Australia,0,0,31.3,0,0,0,32.5,0,0,0,33.2,0,0,0,0,0,32.6,0,0,0,0,0,33.5,0,33.5,0,0,0,0,35.4,0,34.7,0,0,0,0,0,
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,29.8,28.7,29.6,30.6,30.4,31.5,30.3,30.8,30.5,30.8,30.5,30.5,
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.7,0,0,0,0,0,36.5,17.4,18.8,16.2,16.6,0,0,0,0,0,0,0,0,0,0,
Bangladesh,0,0,0,0,25.9,0,26.9,0,0,28.8,0,0,27.6,0,0,0,32.9,0,0,0,0,33.4,0,0,0,0,33.2,0,0,0,0,32.1,0,0,0,0,0,32.4
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,31.7,31.2,30.6,30.3,28.8,26.5,27.6,28.3,29.6,27.8,27.7,28.6,27.2,26.5,26.6,27.2,26.7,27
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1,30.5,29.3,28.1,29.2,28.4,28.5,28.4,28.1,27.5,27.7,28.1,27.7,
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.3,60.9,0,56.6,60.4,54.9,53.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.6,0,0,0,0,0,0,0,43.4,0,0,0,47.8,
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.8,0,0,0,38.1,0,0,0,0,38.8,0,0,0,
Bolivia,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,58.2,0,58.1,61.6,57.4,59.3,0,55,58.5,56.7,54.5,50.8,49.2,0,46.1,46.6,47.6,47.8,46.7,44.6
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,34,0,0,33.1,0,0,0,33,0,0,0,32.7,
Botswana,0,0,0,0,0,0,54.2,0,0,0,0,0,0,0,60.8,0,0,0,0,0,0,0,0,64.7,0,0,0,0,0,0,60.5,0,0,0,0,0,0,
Brazil,0,0,58,58.4,59,58.4,55.6,58.5,59.7,61.4,63.3,60.5,0,53.2,60.1,0,59.6,59.9,59.8,59.6,59,0,58.4,58.1,57.6,56.5,56.3,55.6,54.9,54,53.7,0,52.9,52.6,52.8,51.5,51.3,
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,30.7,0,0,0,0,0,0,0,0,0,0,0,0,0,35.7,36.1,33.6,33.8,35.7,34.3,36,36.6,37.4,0,
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.1,0,0,0,49.9,0,0,0,0,43.3,0,0,0,0,0,39.8,0,0,0,0,35.3,0,
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3,0,0,0,0,0,42.3,0,0,0,0,0,0,0,33.4,0,0,0,0,0,0,38.6,0,0,
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.4,0,0,0,0,42.1,0,0,0,0,0,42.8,0,0,0,0,0,0,46.6,0,
Canada,0,0,32.4,0,0,0,0,0,31.5,0,0,0,31,0,0,31.3,0,0,31.6,33.2,0,33.3,0,0,0,33.7,0,0,33.8,0,0,33.6,0,0,34,0,0,
Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5,0,0,0,0,0,47.2,0,0,0,0,0,0,0,0,
